,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,type,nb_users
annnnnw,0.0681215784445973,1.655830271311305e-07,0.5,7.0904,0.1387622440254018,1.4407148421192632e-07,0.0579710144927536,6.6656,0.0764513877269673,1.2119022364974802e-07,0.1666666666666666,6.495749999999999,0.0667030347496667,1.792338800237174e-07,0.644927536231884,7.26175,buzz,325
lthug,0.0678663656132516,1.5867639549068625e-07,0.3188405797101449,8.3326,0.1092063492063492,1.1803295301459901e-07,0.4090909090909091,7.1772,0.0662100456621004,1.5152632567239086e-07,0.0869565217391304,8.5727,0.0682887949935805,1.634872554613419e-07,0.463768115942029,8.3132,buzz,250
mddddddrrrr,0.0684010289111716,1.7115132213201662e-07,0.5797101449275364,8.0175,0.3085453359425962,8.686345513363964e-08,-0.2608695652173913,7.0901,0.0744225834046193,1.3241588433463385e-07,0.1884057971014492,7.9637,0.0661941576748257,1.8831507843044197e-07,0.753623188405797,8.0307,buzz,1292
ololoh,0.06936487689882,1.698951184090694e-07,0.463768115942029,8.202449999999999,0.1345852895148669,7.762891108240215e-08,-0.0454545454545454,7.0486,0.0762677421306621,1.6009904033295848e-07,0.1521739130434783,8.07295,0.0670327156257149,1.7646168671931217e-07,0.5507246376811595,8.233,buzz,350
ololoo,0.0664043846802467,1.724654331802705e-07,0.463768115942029,8.16395,0.0669204433910315,1.3611420624449477e-07,0.1884057971014493,5.98395,0.0697856817145462,1.4620169943942184e-07,0.1521739130434783,8.192350000000001,0.065526137268678,1.8684802916985158e-07,0.6159420289855073,8.16625,buzz,665
repence,0.0706556467115323,1.3929159190677153e-07,0.2898550724637681,8.9269,0.0701754385964912,1.006093105992329e-07,-0.0434782608695651,7.64,0.0789779326364692,1.226039613297509e-07,0.1884057971014492,8.2723,0.0679717136452004,1.4997399360870394e-07,0.3550724637681159,9.1492,buzz,436
billaye,0.0713089310959493,1.914175339878745e-07,0.463768115942029,8.314250000000001,0.0990503749124438,9.18359397315936e-08,-0.0579710144927535,7.1202000000000005,0.081377151799687,1.4372586251983325e-07,0.1304347826086956,7.4652,0.0683090705487122,2.1783761949010458e-07,0.6231884057971014,8.5172,buzz,3055
jperce,0.0583431681091003,2.2630549722957718e-07,0.6811594202898551,7.4515,0.1158267020335985,1.102670119257131e-07,-0.1594202898550724,4.1251,0.0597750564530137,1.88962897942364e-07,0.463768115942029,7.8082,0.057471264367816,2.563752218352092e-07,0.8405797101449275,7.3305,change,700
miskinou,0.0718578794095725,1.6033487250943036e-07,0.4492753623188405,6.74515,0.1142857142857142,3.512276536558048e-07,-0.1363636363636363,4.5824,0.0919540229885057,1.5172676737327312e-07,0.3188405797101449,6.1589,0.0680645019190571,1.706347733312667e-07,0.4927536231884059,6.7624,buzz,208
tfcn,0.0614893354042191,1.9818042433727218e-07,0.6086956521739132,8.8764,0.0844384612677295,1.290759207393715e-07,0.0072463768115942,7.5793,0.0677871148459383,1.4217126084532734e-07,0.1739130434782609,8.7507,0.0601794992914501,2.145210409582023e-07,0.6956521739130433,8.9078,change,975
scacher,0.0708127192417549,1.6811906179943066e-07,0.2318840579710145,8.279250000000001,0.0622909006591805,2.717306804032808e-07,2.7727272727272725,8.3853,0.0760959470636889,1.332215541312808e-07,-0.0217391304347825,8.261800000000001,0.0693802035152636,1.88962897942364e-07,0.391304347826087,8.2878,buzz,205
embiancer,0.0729386892177589,1.6525375303770012e-07,0.4927536231884059,8.4252,0.1264423076923077,3.165102592730293e-07,-0.0144927536231884,4.6918,0.0908084163898117,1.4716374072182074e-07,0.1159420289855072,8.6448,0.0699448529411764,1.7283366496086205e-07,0.5942028985507247,8.3206,buzz,223
mtenir,0.0671811871956904,1.797632221503362e-07,0.3188405797101449,8.6858,0.0574740102476234,2.1918866504394687e-07,-0.181159420289855,4.8915,0.0768453768453768,1.4933098936823692e-07,-0.0289855072463767,8.658249999999999,0.0652654867256637,1.890787346435656e-07,0.4492753623188405,8.8275,buzz,226
